 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
   442     1  -36.39030       0.000000      -37.24920      0.8588939      0.6989696E-04   22.07171      0.9959318E-01  0.1039082    
   443     1  -36.39577       0.000000      -37.24975      0.8539802      0.6949709E-04   21.94544      0.9481315E-01  0.1041933    
   444     1  -36.40032       0.000000      -37.24901      0.8486874      0.6906635E-04   21.80943      0.9044764E-01  0.1027237    
   445     1  -36.40344       0.000000      -37.24822      0.8447879      0.6874902E-04   21.70922      0.8679528E-01  0.1029411    
   446     1  -36.40761       0.000000      -37.24710      0.8394901      0.6831788E-04   21.57308      0.8581569E-01  0.1003312    
   447     1  -36.39729       0.000000      -37.24670      0.8494028      0.6912458E-04   21.82782      0.8727514E-01  0.9859865E-01
   448     1  -36.39740       0.000000      -37.24666      0.8492606      0.6911301E-04   21.82416      0.8946121E-01  0.9525590E-01
   449     1  -36.39264       0.000000      -37.24722      0.8545763      0.6954560E-04   21.96076      0.9365267E-01  0.9411478E-01
   450     1  -36.39629       0.000000      -37.24770      0.8514055      0.6928756E-04   21.87928      0.9979450E-01  0.9508471E-01
   451     1  -36.39608       0.000000      -37.24775      0.8516699      0.6930908E-04   21.88608      0.1060889      0.9797903E-01
   452     1  -36.39426       0.000000      -37.24884      0.8545793      0.6954584E-04   21.96084      0.1105809      0.1024486    
   453     1  -36.38648       0.000000      -37.24984      0.8633625      0.7026062E-04   22.18655      0.1125373      0.1060504    
   454     1  -36.38523       0.000000      -37.24867      0.8634354      0.7026655E-04   22.18842      0.1125753      0.1065683    
   455     1  -36.38063       0.000000      -37.24682      0.8661881      0.7049057E-04   22.25916      0.1105771      0.1037446    
   456     1  -36.38615       0.000000      -37.24568      0.8595284      0.6994860E-04   22.08802      0.1069439      0.1038854    
   457     1  -36.38299       0.000000      -37.24634      0.8633523      0.7025979E-04   22.18629      0.1037458      0.1030857    
   458     1  -36.39153       0.000000      -37.24883      0.8572959      0.6976692E-04   22.03065      0.9881692E-01  0.9898759E-01
   459     1  -36.39444       0.000000      -37.25096      0.8565217      0.6970391E-04   22.01075      0.9232294E-01  0.9802258E-01
   460     1  -36.38890       0.000000      -37.25154      0.8626324      0.7020121E-04   22.16779      0.9030428E-01  0.9615087E-01
   461     1  -36.40816       0.000000      -37.25142      0.8432670      0.6862525E-04   21.67014      0.8903867E-01  0.9478519E-01
   462     1  -36.41183       0.000000      -37.25249      0.8406564      0.6841279E-04   21.60305      0.8790729E-01  0.1002089    
   463     1  -36.40465       0.000000      -37.25328      0.8486283      0.6906155E-04   21.80791      0.8733401E-01  0.1087229    
   464     1  -36.39767       0.000000      -37.25303      0.8553672      0.6960996E-04   21.98109      0.8783302E-01  0.1114409    
   465     1  -36.39557       0.000000      -37.25003      0.8544608      0.6953620E-04   21.95779      0.9084770E-01  0.1085971    
   466     1  -36.38477       0.000000      -37.24666      0.8618881      0.7014063E-04   22.14866      0.9231831E-01  0.1034798    
   467     1  -36.39911       0.000000      -37.24515      0.8460360      0.6885059E-04   21.74130      0.9500829E-01  0.9934008E-01
   468     1  -36.38594       0.000000      -37.24575      0.8598111      0.6997161E-04   22.09529      0.9794230E-01  0.9779609E-01
   469     1  -36.38367       0.000000      -37.24704      0.8633719      0.7026138E-04   22.18679      0.9979027E-01  0.9685970E-01
   470     1  -36.38324       0.000000      -37.24855      0.8653075      0.7041891E-04   22.23653      0.1015452      0.9680795E-01
   471     1  -36.37786       0.000000      -37.24969      0.8718337      0.7095001E-04   22.40424      0.1037298      0.1018727    
   472     1  -36.38915       0.000000      -37.25020      0.8610465      0.7007214E-04   22.12703      0.1035275      0.1068315    
   473     1  -36.38969       0.000000      -37.25014      0.8604559      0.7002408E-04   22.11186      0.1017606      0.1077755    
   474     1  -36.38811       0.000000      -37.25078      0.8626694      0.7020421E-04   22.16874      0.1034827      0.1070865    
   475     1  -36.38335       0.000000      -37.24934      0.8659909      0.7047452E-04   22.25409      0.1051147      0.1031955    
   476     1  -36.38840       0.000000      -37.24793      0.8595256      0.6994838E-04   22.08795      0.1046247      0.1000482    
   477     1  -36.39203       0.000000      -37.24961      0.8575741      0.6978956E-04   22.03780      0.1032608      0.1006764    
   478     1  -36.38880       0.000000      -37.25069      0.8618917      0.7014093E-04   22.14875      0.1007003      0.9923473E-01
   479     1  -36.38618       0.000000      -37.25058      0.8644036      0.7034535E-04   22.21330      0.9976920E-01  0.9469494E-01
   480     1  -36.39145       0.000000      -37.25162      0.8601749      0.7000121E-04   22.10463      0.9939066E-01  0.8981936E-01
   481     1  -36.40099       0.000000      -37.25374      0.8527556      0.6939743E-04   21.91398      0.9768154E-01  0.9043921E-01
   482     1  -36.39635       0.000000      -37.25347      0.8571235      0.6975289E-04   22.02622      0.9266209E-01  0.9317902E-01
   483     1  -36.37337       0.000000      -37.25208      0.8787130      0.7150985E-04   22.58102      0.8682690E-01  0.9375109E-01
   484     1  -36.39083       0.000000      -37.25090      0.8600609      0.6999194E-04   22.10171      0.8428264E-01  0.8977272E-01
   485     1  -36.37640       0.000000      -37.25107      0.8746699      0.7118082E-04   22.47712      0.8459373E-01  0.8677940E-01
   486     1  -36.39205       0.000000      -37.25213      0.8600812      0.6999359E-04   22.10223      0.8825270E-01  0.8283013E-01
   487     1  -36.39304       0.000000      -37.25388      0.8608482      0.7005601E-04   22.12194      0.8964475E-01  0.8581975E-01
   488     1  -36.38171       0.000000      -37.25373      0.8720174      0.7096496E-04   22.40896      0.9057982E-01  0.8962371E-01
   489     1  -36.37734       0.000000      -37.25252      0.8751822      0.7122251E-04   22.49029      0.9048752E-01  0.9127219E-01
   490     1  -36.39030       0.000000      -37.25261      0.8623096      0.7017494E-04   22.15949      0.8986048E-01  0.9097612E-01
   491     1  -36.39429       0.000000      -37.25102      0.8567341      0.6972120E-04   22.01621      0.9105880E-01  0.9433302E-01
   492     1  -36.38612       0.000000      -37.25185      0.8657317      0.7045343E-04   22.24743      0.9302122E-01  0.9993022E-01
   493     1  -36.38668       0.000000      -37.25235      0.8656647      0.7044798E-04   22.24571      0.9596026E-01  0.1046275    
   494     1  -36.37749       0.000000      -37.25057      0.8730804      0.7105147E-04   22.43628      0.9858854E-01  0.9831556E-01
   495     1  -36.37984       0.000000      -37.25068      0.8708393      0.7086908E-04   22.37869      0.9765854E-01  0.9472300E-01
   496     1  -36.39318       0.000000      -37.25193      0.8587482      0.6988510E-04   22.06797      0.9589697E-01  0.9299178E-01
   497     1  -36.39664       0.000000      -37.25295      0.8563111      0.6968678E-04   22.00534      0.9189403E-01  0.9248213E-01
   498     1  -36.39715       0.000000      -37.25267      0.8555174      0.6962218E-04   21.98495      0.8783339E-01  0.8864923E-01
   499     1  -36.39184       0.000000      -37.25217      0.8603321      0.7001401E-04   22.10867      0.8297915E-01  0.8752478E-01
   500     1  -36.39643       0.000000      -37.25186      0.8554261      0.6961475E-04   21.98260      0.8070514E-01  0.8554212E-01
