 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  
    80     1  -36.39188       0.000000      -37.24570      0.8538130      0.6948348E-04   21.94115      0.9487134E-01  0.1022471    
    81     1  -36.39836       0.000000      -37.24619      0.8478273      0.6899636E-04   21.78733      0.9549674E-01  0.1084387    
    82     1  -36.37591       0.000000      -37.24758      0.8716651      0.7093629E-04   22.39991      0.9614875E-01  0.1104509    
    83     1  -36.39349       0.000000      -37.24843      0.8549474      0.6957580E-04   21.97030      0.9647058E-01  0.1084529    
    84     1  -36.38755       0.000000      -37.24800      0.8604492      0.7002353E-04   22.11168      0.9554377E-01  0.1121415    
    85     1  -36.36877       0.000000      -37.24522      0.8764452      0.7132530E-04   22.52275      0.9555123E-01  0.1106329    
    86     1  -36.39089       0.000000      -37.24451      0.8536175      0.6946757E-04   21.93612      0.9497652E-01  0.1107197    
    87     1  -36.39091       0.000000      -37.24493      0.8540269      0.6950089E-04   21.94665      0.9372442E-01  0.1113412    
    88     1  -36.38944       0.000000      -37.24543      0.8559931      0.6966090E-04   21.99717      0.9264488E-01  0.1088352    
    89     1  -36.37903       0.000000      -37.24413      0.8651028      0.7040225E-04   22.23127      0.9432398E-01  0.1085487    
    90     1  -36.38307       0.000000      -37.24357      0.8604921      0.7002703E-04   22.11279      0.9765354E-01  0.1077737    
    91     1  -36.38148       0.000000      -37.24423      0.8627512      0.7021087E-04   22.17084      0.9983926E-01  0.1098955    
    92     1  -36.38252       0.000000      -37.24547      0.8629506      0.7022710E-04   22.17596      0.1010463      0.1130050    
    93     1  -36.37505       0.000000      -37.24630      0.8712563      0.7090302E-04   22.38940      0.1025900      0.1133333    
